state,district,disease,no_of_cases,deaths,start_of_outbreak,date_of_reporting,status,action
Assam,Lakhimpur,Acute Diarrheal Disease,16,0,03-01-2025,03-01-2025,Under Surveillance,"Cases were reported from Village Bilotia Kathani, Sub-District Naobaicha, District Lakhimpur. Cases presented with loose motion and pain abdomen. 4 stool samples and 1 water sample were collected and sent to DPHL, Telahi Model hospital. Stool samples did not show growth of any pathogenic organism. Water sample found unfit for potable purpose. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Chhattisgarh,Durg,Acute Diarrheal Disease,49,0,30-12-2024,31-12-2024,Under Surveillance,"Cases were reported from Village Puraina, Sub-District Patan, District Durg. Cases presented with loose motion, and vomiting. 10 water samples were collected and sent to PHE Balod. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,59,0,03-01-2025,05-01-2025,Under Surveillance,"Cases were reported from Village Garhsiwani, Sub-District Mahasamund, District Mahasamund. Cases presented with loose motion, and vomiting. 3 stool samples sent to Hamar lab Raipur. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Gujarat,Mahesana,Acute Diarrheal Disease,8,0,04-01-2025,04-01-2025,Under Surveillance,"Cases were reported from Sub-District Mahesana, District Mahesana. Cases presented with loose motion, and vomiting. 2 stools samples were collected and sent to DPHL Mehsana. Both samples found negative for Vibrio cholera. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Jammu and Kashmir,Pulwama,Hepatitis A,21,0,02-01-2025,02-01-2025,Under Surveillance,"Cases were reported from Village Naibugh, Sub-District Tral, District Pulwama. Cases presented with jaundice, fatigue and abdominal pain. Total 10 blood samples and 5 water samples were collected and sent to DPHL Pulwama. 2 blood samples came positive for Hepatitis A IgM by ELISA and 4 water samples found unfit for potable purpose. District RRT investigated the outbreak. Age group of the affected cases were 6-20 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Jharkhand,Latehar,Enteric fever,25,0,04-01-2025,04-01-2025,Under Surveillance,"Cases were reported from Village Barwadih (CT), Kalyanpur, Luhur, Sub-District Barwadih, District Latehar. Cases presented with fever, abdominal discomfort and nausea. 25 blood samples out of 58 came positive for salmonella infection (8 for Salmonella typhi and 17 for salmonella Para typhi) by Widal at CHC. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene, and sanitation."
Karnataka,Mysuru,Food Poisioning,36,0,03-01-2025,03-01-2025,Under Control,"Cases were reported from Govt. high School, Village Hosaramanahalli, Sub-District Hunsur, District Mysuru. Cases presented with loose stools, pain abdomen and vomiting. 2 stool sample and 2 water samples were collected and sent to DPHL Mysuru. Stool samples did not show growth of any pathogenic organism. Water samples found fit for potable purpose. District RRT investigated the outbreak. All the cases developed the symptoms after eating cake from a nearby bakery. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Kannur,Food Poisioning,359,0,03-01-2025,05-01-2025,Under Surveillance,"Cases were reported from Village Kankole, Sub-District Payyannur, District Kannur. Cases presented with loose stools, pain abdomen and vomiting. 1 water sample found unfit for potable purpose (Coliform detected). District RRT investigated the outbreak. All the cases developed the symptoms after eating the food in a festival. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Kasaragod,Food Poisioning,40,0,31-12-2024,31-12-2024,Under Control,"Cases were reported from Govt. Higher Secondary School, Chayyoyh, Village Cheruvathur (OG), Sub-District Hosdurg, District Kasaragod. Cases presented with pain abdomen, nausea, vomiting and loose stools. 1 stool sample was sent for culture, did not show growth of any pathogenic organism. District RRT investigated the outbreak. All the cases developed the symptoms after eating the food in school cultural event. Food was arranged from a local restaurant. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Kollam,Food Poisioning,22,0,30-12-2024,30-12-2024,Under Surveillance,"Cases were reported from Darool Uloom Madrasa in Meppady, Village Sasthamkotta, Sub-District Kunnathur, District Kollam. Cases presented with pain abdomen, nausea, vomiting. District RRT investigated the outbreak. All the cases developed the symptoms after eating the food in a meeting. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
