Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/Action Taken,Week
AP/KRS/2024/01/01,Andhra Pradesh,Nandamuri Taraka Rama Rao (NTR),Acute Diarrheal Disease,30,0,30-12-2023,03-01-2024,Under Control,Cases from UPHC Durgapuram. Loose motion. Klebsiella in tank water sample. RRT investigated.,Week 1
AS/SBS/2024/01/02,Assam,Charaideo,Leptospirosis,1,1,02-01-2024,02-01-2024,Under Surveillance,Sapekhati BPHC. Seizures. Positive for Leptospirosis IgM ELISA. 52-year-old female expired.,Week 1
AS/DAR/2024/01/03,Assam,Darrang,Chickenpox,6,0,30-12-2023,02-01-2024,Under Surveillance,Khokjani Village. Fever with rash. Age 8-15 years. All 3 samples positive for Varicella Zoster IgM ELISA.,Week 1
BH/JAH/2024/01/04,Bihar,Jehanabad,Chickenpox,8,0,06-01-2024,06-01-2024,Under Surveillance,Village Painditpur. Fever with rash. Age 3-12 years. All 3 samples positive for Chicken Pox IgM ELISA.,Week 1
GJ/AHM/2024/01/05,Gujarat,Ahmedabad,Acute Diarrheal Disease,16,0,01-12-2023,01-01-2024,Under Surveillance,Kubernagar UPHC. Pain abdomen and vomiting. Age 6-10 years. One water sample unfit for drinking.,Week 1
KN/SHI/2024/01/06,Karnataka,Shivamogga,Kyasanur Forest Disease,81,1,06-01-2024,06-01-2024,Under Surveillance,Bappamane Village. Fever. 5 samples positive for KFDV IgM ELISA. 18-year-old female expired at KMC Manipal.,Week 1
KN/VIJ/2024/01/07,Karnataka,Vijayanagar,Cholera,97,1,06-01-2024,06-01-2024,Under Surveillance,"Kariganur village. Loose stool, vomiting, dehydration. 5 stool samples positive for Vibrio Cholera. 66-year-old female expired.",Week 1
KL/PLK/2024/01/08,Kerala,Palakkad,Dog Bite,9,0,03-01-2024,03-01-2024,Under Surveillance,PHC Pattithara. 9 cases from dog bite on 1-1-2024. All received IDRV. House-to-house survey done.,Week 1
KL/TRC/2024/01/09,Kerala,Thrissur,Chickenpox,28,0,28-12-2023,04-01-2024,Under Surveillance,"Divine Care Center, Meloor Village. Fever with rashes. All isolated. RRT investigated.",Week 1
KL/TRC/2024/01/10,Kerala,Thrissur,Monkey Pox,2,0,28-12-2023,04-01-2024,Under Surveillance,CHC Vadakkekad. Fever with painful pus-filled lesions. Both samples positive for Monkey Pox by RTPCR.,Week 1
MP/BAD/2024/01/11,Madhya Pradesh,Barwani,Chickenpox,9,0,23-12-2023,02-01-2024,Under Control,"PHC Khetia, PHC Bokrata. Fever with rash. One sample positive for Varicella Zoster IgM ELISA.",Week 1
MP/CTP/2024/01/12,Madhya Pradesh,Chhatarpur,Chickenpox,6,0,03-01-2024,04-01-2024,Under Surveillance,CHC Lovkush Nagar. Fever with rash. All cases diagnosed clinically. All isolated.,Week 1
MP/CDW/2024/01/13,Madhya Pradesh,Chhindwara,Chickenpox,15,0,05-12-2023,05-01-2024,Under Surveillance,PHC Khamarpani. Fever with rash. Negative for measles & rubella. Clinically diagnosed as Chickenpox.,Week 1
MP/NSP/2024/01/14,Madhya Pradesh,Narsinghpur,Fever with Rash,8,0,04-01-2024,04-01-2024,Under Surveillance,"PHC Singhpur Bada, Village Naktuwa. Fever with rash. RRT investigated.",Week 1
MH/GAD/2024/01/15,Maharashtra,Gadchiroli,Malaria,191,1,04-01-2024,04-01-2024,Under Control,Village Botlacheru. High grade fever with unconsciousness. Age 4-30 years. 2 samples positive for P. Falciparum. 30-year-old female expired.,Week 1
MH/GAD/2024/01/16,Maharashtra,Gadchiroli,Malaria,385,1,27-12-2023,01-01-2024,Under Control,Village Katezari. High grade fever with unconsciousness. Age 2-60 years. 6 samples positive for P. Falciparum. 2-year-old female expired.,Week 1
MH/GOD/2024/01/17,Maharashtra,Gondia,Malaria,28,0,29-12-2023,01-01-2024,Under Control,"Bhajepar, Block Tiroda. Fever with chills. Age 10-60 years. 1 sample positive. 15-year-old female expired.",Week 1
MH/KOP/2024/01/18,Maharashtra,Kolhapur,Hepatitis A,9,0,05-01-2024,05-01-2024,Under Surveillance,"Village Dindanerli. Fever, loss of appetite. Age 15-65 years. All 6 blood samples positive for Anti-HAV IgM ELISA.",Week 1
MH/KOP/2024/01/19,Maharashtra,Kolhapur,Food Poisoning,106,0,03-01-2024,03-01-2024,Under Control,"Village Parite. Fever, loose motion, vomiting after food at religious ceremony. Age 10-65 years.",Week 1
MH/NAG/2024/01/20,Maharashtra,Nagpur,Scrub Typhus,9,1,02-01-2024,04-01-2024,Under Control,Village Khairi Mondha. Fever & icterus. Age 10-50 years. 1 sample positive for scrub typhus IgM ELISA. 37-year-old female expired.,Week 1
MH/PLR/2024/01/21,Maharashtra,Palghar,Dengue & Chikungunya,9,0,07-01-2024,07-01-2024,Under Surveillance,"Hiradpada Ashramshala. Fever & cough. Age 9-15 years. 5 positive for Dengue IgM, 3 for Chikungunya IgM.",Week 1
OR/CUT/2024/01/22,Odisha,Cuttack,Acute Diarrheal Disease,22,0,04-01-2024,04-01-2024,Under Control,"Village Bishnupur. Loose motion, vomiting, abdominal pain. Water H2S positive. Contaminated drinking water source.",Week 1
OR/SUN/2024/01/23,Odisha,Sundargarh,Food Poisoning,25,0,01-01-2024,01-01-2024,Under Surveillance,"Village Luhuren Berni. Loose motion, vomiting after marriage party. Contaminated food likely.",Week 1
TN/TVL/2024/01/24,Tamil Nadu,Thiruvallur,Acute Diarrheal Disease,11,0,03-01-2024,03-01-2024,Under Control,Village Thomur. Vomiting and loose stools. Age >14 years. All stool samples negative. Pipe leakage likely cause.,Week 1
TN/TVM/2024/01/25,Tamil Nadu,Tiruvannamalai,Cholera,2,0,03-01-2024,04-01-2024,Under Control,"Village Nachamalai. Loose stools, vomiting. Stool samples positive for Vibrio Cholera.",Week 1
UK/HDW/2024/01/26,Uttarakhand,Haridwar,Mumps,51,0,01-01-2024,03-01-2024,Under Control,Village Dargahapur. Fever with swelling in neck. Age 4-14 years. Diagnosed clinically. RRT investigated.,Week 1
AS/NGO/2024/02/27,Assam,Hojai,Human Rabies,1,1,12-01-2024,13-01-2024,Under Control,"Village Jugijan. 16-year-old male with hydrophobia, fever. Dog bite 3 months prior, no ARV taken. Expired 13-01-2024.",Week 2
AS/SNT/2024/02/28,Assam,Sonitpur,Mumps,4,0,11-01-2024,12-01-2024,Under Control,Sub-District Tezpur. Fever with parotid swelling. Age 6-9 years. All 3 samples positive for Mumps Virus IgM ELISA.,Week 2
BH/PAC/2024/02/29,Bihar,Pashchim Champaran,Measles,17,0,06-01-2024,11-01-2024,Under Surveillance,Village Sirarahi. Fever with rash. Age 1-10 years. 5 samples positive for Measles IgM ELISA. Not immunized with MR vaccine.,Week 2
BH/PAC/2024/02/30,Bihar,Pashchim Champaran,Measles,32,0,05-01-2024,10-01-2024,Under Surveillance,Village Gokhula. Fever with rash. Age 1-21 years. 2 samples positive for Measles IgM ELISA. Not immunized with MR vaccine.,Week 2
CT/RGR/2024/02/31,Chhattisgarh,Raigarh,Acute Diarrheal Disease,9,0,05-01-2024,08-01-2024,Under Control,Village Rodopali. Loose motion and vomiting. All 4 water samples unfit for potable purposes.,Week 2
GJ/SRD/2024/02/32,Gujarat,Surendranagar,Chikungunya,52,0,11-01-2024,11-01-2024,Under Surveillance,Village Sontha. Fever with joint pain. 1 sample positive for Chikungunya IgM ELISA.,Week 2
JH/ESI/2024/02/33,Jharkhand,East Singhbum,Chickenpox,10,0,12-01-2024,12-01-2024,Under Surveillance,Village Jagarnathpur. Fever with rash. Age 3-45 years. 1 sample positive for Varicella Zoster IgM ELISA.,Week 2
KN/BEG/2024/02/34,Karnataka,Belagavi,Food Poisoning,92,0,11-01-2024,12-01-2024,Under Surveillance,"Government School, Ukhanapur. Vomiting, pain abdomen after consuming milk. Dead lizard found in milk (Ksheer Bhagya program).",Week 2
KN/CMN/2024/02/35,Karnataka,Chamarajanagar,Acute Diarrheal Disease,19,0,05-01-2024,08-01-2024,Under Surveillance,"Village Gumballi. Pain abdomen, loose stools, vomiting. Klebsiella in stool samples. 2 water samples unfit.",Week 2
KN/VIJ/2024/02/36,Karnataka,Vijayanagar,Acute Diarrheal Disease,34,0,09-01-2024,09-01-2024,Under Surveillance,"Ranipete 5th ward. Pain abdomen, loose stools, vomiting. No pathogenic organism. All water samples fit.",Week 2
KL/ALP/2024/02/37,Kerala,Alappuzha,Mumps,18,0,12-01-2024,12-01-2024,Under Surveillance,"Georgean Public School, Edathua. Fever with parotid swelling. Age 0-6 years. 4 samples positive for Mumps Virus IgM ELISA.",Week 2
KL/CNR/2024/02/38,Kerala,Kannur,Food Poisoning,83,0,09-01-2024,10-01-2024,Under Surveillance,"Village Mokeri. Fever, loose stools, pain abdomen after marriage function. Majority >30 years. Water sample unfit.",Week 2
KL/KAS/2024/02/39,Kerala,Kasaragod,Acute Diarrheal Disease,43,0,08-01-2024,10-01-2024,Under Control,"MKSHS Thimiri and ALPS Thimiri. Abdominal discomfort, vomiting. Both water samples fit for drinking.",Week 2
KL/PLK/2024/02/40,Kerala,Palakkad,Hepatitis A,9,0,11-01-2024,12-01-2024,Under Surveillance,Village Kottoppadam-I. Vomiting and tiredness. Both blood samples positive for Hepatitis A IgM ELISA. Water unfit.,Week 2
KL/PLK/2024/02/41,Kerala,Palakkad,Food Poisoning,41,0,12-01-2024,12-01-2024,Under Surveillance,"Village Akathethara. Fever, chills, vomiting, loose stools after food from restaurant.",Week 2
