state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Andhra Pradesh,Nellore,i. Acute Diarrhoeal Disease,43 / 0,,27.06.09,30.06.09,Under Control,"Outbreak reported from Nadimuru, Yerrathota, Arundathiwada and Kothuru villages under Kaligiri PHC. District RRT visited. PHC doctors and paramedical workers held health camps round the clock. Stool and water samples sent to district Public Health lab for analysis; results awaited. ORS packets and chlorine tablets distributed. House to house survey done for new cases. All water sources disinfected. IEC activities initiated in the affected areas. The village secretary requested to undertake necessary sanitary measures and periodical disinfection and chlorination of water sources."
,Prakasam,ii. Acute Diarrhoeal Disease,12 / 0,,25.06.09,27.06.09,Under Control,"Outbreak reported from Muppavaram village, Kondepi PHC due to water contamination caused by pipeline leakages. House to house surveillance done in affected area and adjacent blocks. Chlorination and disinfection of water sources done. IEC activities taken up."
Gujarat,Banaskantha,iii. Food Poisoning,5 / 2,,22.06.09,23.06.09,Under Control,"All cases are members of the same family in Vatam Juna village under Deodar block, who had consumed stale and contaminated food. Cases being treated at CHC Deodar. Food samples not available for lab analysis. Health education given regarding food hygiene."
Himachal Pradesh,Lahaul & Spiti,iv. Acute Diarrhoeal Disease,9 / 0,,24.06.09,26.06.09,Under Control,"All cases are children from Yang-Chen-Cha-Tsal-School at Jispa with complaints of pain abdomen, fever, vomiting, loose motion and some dehydration. District RRT investigated the outbreak. All cases treated. Water samples from sources of drinking water sent to Central Testing Lab, Kandaghat for analysis. Health education given to children and food handlers in school regarding sanitation and hygienic practices."
Karnataka,Davangere,v. Cholera,17 / 0,,20.06.09,20.06.09,Under Control,"Outbreak reported from Harapanahalli, Neelagunda, Hadibasaveshwara nagar areas. District RRT visited and investigated the outbreak. Water samples on lab analysis found unfit for drinking. Out of three stool samples collected, one tested positive for V.cholerae. Repair of pipeline leakages is being repaired by the Gram Panchayat secretary."
,Tumkur,vi. Acute Diarrhoeal Disease,10 / 3,,25.06.09,26.06.09,Under Surveillance,"Outbreak reported from Indiranagar village of Kyathasandra PHC, due to consumption of contaminated water. Investigation done by District RRT. Stool and water samples sent to District PH lab for analysis; results awaited. Chlorination and disinfection of water sources done. Health education given to the community."
Karnataka,Bijapur,vii. Acute Diarrhoeal Disease,40 / 0,,20.06.09,24.06.09,Under Control,"Outbreak reported from Moratagi village, PHC, Moratagi, Taluka Sindagi, due to consumption of contaminated water. Investigation done by dist RRT. Stool samples sent for culture; report awaited. Water samples tested found unfit for drinking purpose. Chlorination of all open water sources done. Stagnation of water around open wells & bore well cleared. Halogen tablets and ORS packets distributed to all houses. Health education given regarding personal sanitation and hygiene."
Madhya Pradesh,Ujjain,viii. Food poisoning,19 / 0,,21.06.09,21.06.09,Under Control,"Cases reported from Khachrod village Station Road areas, occurred due to consumption of stale and contaminated food by people at a function. Symptoms of vomiting and loose motion started after about 4 hours of food intake. All cases improved after treatment in hospital. Health education given regarding sanitation and food hygiene."
Rajasthan,Alwar,ix. Food poisoning,329 / 0,,22.06.09,22.06.09,Under control,"Cases reported from adjacent villages Jatwada, Dythana, Laathkim, Nangla guman, Mohanbass, Chodpur, and Baadsuj of Block Kherli occurred due to consumption of common contaminated food (Chandiya) in a ceremony. All cases treated. Water samples sent for lab testing; result awaited. Food samples not available for analysis."
Tamil Nadu,Erode,x. ? Viral Fever,17 / 0,,25.06.09,26.06.09,Under control,"Outbreak of fever reported from Arasaur village, Ukkaram PHC, Block Sathy.. Investigation done by District RRT. Fever surveillance done. IEC activities undertaken. Samples sent for lab analysis to Medical College, Coimbatore; result awaited."
